"Node Number","Temperature","Points:0","Points:1","Points:2"
6816,180.12,4.93,0.43,0
6817,180.12,4.93,0.42,0
6818,180.12,4.93,0.41,0
6819,180.12,4.93,0.4,0
6820,180.12,4.93,0.39,0
6821,180.12,4.93,0.38,0
6822,180.12,4.93,0.37,0
6823,180.12,4.93,0.36,0
6824,180.12,4.93,0.35,0
6825,180.12,4.93,0.34,0
6826,180.12,4.93,0.33,0
6827,180.12,4.93,0.32,0
6828,180.12,4.93,0.31,0
6829,180.12,4.93,0.3,0
6830,180.12,4.93,0.29,0
6831,180.12,4.93,0.28,0
6832,180.12,4.93,0.27,0
6833,180.12,4.93,0.26,0
6834,180.12,4.93,0.25,0
6835,180.12,4.93,0.24,0
6836,180.12,4.93,0.23,0
6837,180.12,4.93,0.22,0
6838,180.12,4.93,0.21,0
6839,180.12,4.93,0.2,0
6840,180.12,4.93,0.19,0
6841,180.12,4.93,0.18,0
6842,180.12,4.93,0.17,0
6843,180.12,4.93,0.16,0
6844,180.12,4.93,0.15,0
6845,180.12,4.93,0.14,0
6846,180.12,4.93,0.13,0
6847,180.12,4.93,0.12,0
6848,180.12,4.93,0.11,0
6849,180.12,4.93,0.1,0
6850,180.12,4.93,0.09,0
6851,180.12,4.93,0.08,0
6852,180.12,4.93,0.07,0
6853,180.12,4.93,0.06,0
6854,180.12,4.93,0.05,0
6855,180.12,4.93,0.04,0
6856,180.12,4.93,0.03,0
6857,180.12,4.93,0.02,0
6858,180.12,4.93,0.01,0
6859,180.12,4.92,0.99,0
6860,180.12,4.92,0.98,0
6861,180.12,4.92,0.97,0
6862,180.12,4.92,0.96,0
6863,180.12,4.92,0.95,0
6864,180.12,4.92,0.94,0
6865,180.12,4.92,0.93,0
6866,180.12,4.92,0.92,0
6867,180.12,4.92,0.91,0
6868,180.12,4.92,0.9,0
6869,180.12,4.92,0.89,0
6870,180.12,4.92,0.88,0
6871,180.12,4.92,0.87,0
6872,180.12,4.92,0.86,0
6873,180.12,4.92,0.85,0
6874,180.12,4.92,0.84,0
6875,180.12,4.92,0.83,0
6876,180.12,4.92,0.82,0
6877,180.12,4.92,0.81,0
6878,180.12,4.92,0.8,0
6879,180.12,4.92,0.79,0
6880,180.12,4.92,0.78,0
6881,180.12,4.92,0.77,0
6882,180.12,4.92,0.76,0
6883,180.12,4.92,0.75,0
6884,180.12,4.92,0.74,0
6885,180.12,4.92,0.73,0
6886,180.12,4.92,0.72,0
6887,180.12,4.92,0.71,0
6888,180.12,4.92,0.7,0
6889,180.12,4.92,0.69,0
6890,180.12,4.92,0.68,0
6891,180.12,4.92,0.67,0
6892,180.12,4.92,0.66,0
6893,180.12,4.92,0.65,0
6894,180.12,4.92,0.64,0
6895,180.12,4.92,0.63,0
6896,180.12,4.92,0.62,0
6897,180.12,4.92,0.61,0
6898,180.12,4.92,0.6,0
6899,180.12,4.92,0.59,0
6900,180.12,4.92,0.58,0
6901,180.12,4.92,0.57,0
6902,180.12,4.92,0.56,0
6903,180.12,4.92,0.55,0
6904,180.12,4.92,0.54,0
6905,180.12,4.92,0.53,0
6906,180.12,4.92,0.52,0
6907,180.12,4.92,0.51,0
6908,180.12,4.92,0.5,0
6909,180.12,4.92,0.49,0
6910,180.12,4.92,0.48,0
6911,180.12,4.92,0.47,0
6912,180.12,4.92,0.46,0
6913,180.12,4.92,0.45,0
6914,180.12,4.92,0.44,0
6915,180.12,4.92,0.43,0
6916,180.12,4.92,0.42,0
6917,180.12,4.92,0.41,0
6918,180.12,4.92,0.4,0
6919,180.12,4.92,0.39,0
6920,180.12,4.92,0.38,0
6921,180.12,4.92,0.37,0
6922,180.12,4.92,0.36,0
6923,180.12,4.92,0.35,0
6924,180.12,4.92,0.34,0
6925,180.12,4.92,0.33,0
6926,180.12,4.92,0.32,0
6927,180.12,4.92,0.31,0
6928,180.12,4.92,0.3,0
6929,180.12,4.92,0.29,0
6930,180.12,4.92,0.28,0
6931,180.12,4.92,0.27,0
6932,180.12,4.92,0.26,0
6933,180.12,4.92,0.25,0
6934,180.12,4.92,0.24,0
6935,180.12,4.92,0.23,0
6936,180.12,4.92,0.22,0
6937,180.12,4.92,0.21,0
6938,180.12,4.92,0.2,0
6939,180.12,4.92,0.19,0
6940,180.12,4.92,0.18,0
6941,180.12,4.92,0.17,0
6942,180.12,4.92,0.16,0
6943,180.12,4.92,0.15,0
6944,180.12,4.92,0.14,0
6945,180.12,4.92,0.13,0
6946,180.12,4.92,0.12,0
6947,180.12,4.92,0.11,0
6948,180.12,4.92,0.1,0
6949,180.12,4.92,0.09,0
6950,180.12,4.92,0.08,0
6951,180.12,4.92,0.07,0
6952,180.12,4.92,0.06,0
6953,180.12,4.92,0.05,0
6954,180.12,4.92,0.04,0
6955,180.12,4.92,0.03,0
6956,180.12,4.92,0.02,0
6957,180.12,4.92,0.01,0
6958,180.12,4.91,0.99,0
6959,180.12,4.91,0.98,0
6960,180.12,4.91,0.97,0
6961,180.12,4.91,0.96,0
6962,180.12,4.91,0.95,0
6963,180.12,4.91,0.94,0
6964,180.12,4.91,0.93,0
6965,180.12,4.91,0.92,0
6966,180.12,4.91,0.91,0
6967,180.12,4.91,0.9,0
6968,180.12,4.91,0.89,0
6969,180.12,4.91,0.88,0
6970,180.12,4.91,0.87,0
6971,180.12,4.91,0.86,0
6972,180.12,4.91,0.85,0
6973,180.12,4.91,0.84,0
6974,180.12,4.91,0.83,0
6975,180.12,4.91,0.82,0
6976,180.12,4.91,0.81,0
6977,180.12,4.91,0.8,0
